"SMILES","pts"
"CC(SC(C)C(C)(C)C)C(C)(C)C",1.97268
"CCCCC(CC)C(=O)O[Co]OC(=O)CCCCC(C)C",2.95411
"CCCCC(CC)C(=O)O[Co]OC(=O)CCCCCC(C)C",2.91727
"CCCCC(CC)C(=O)O[Zn]OC(=O)CCCCC(C)C",3.02144
"CC1=CC(=C(C=C1)S(=O)(=O)NC1=C2C(=O)C3=CC=CC=C3C(=O)C2=C(N)C=C1)S(O)(=O)=O",4.30327
"CCCCC(CC)C(=O)O[Zn]OC(=O)CCCCCC(C)C",2.98519
"CCCCC(CC)C(=O)O[Zn]OC(=O)CCCCCCC(C)C",3.08989
"CCCC[Sn](CCCC)(OC(=O)CC(C)(C)CC(C)(C)C)OC(=O)CC(C)(C)CC(C)(C)C",4.87749
"CCCCCCC(O)C\C=C\CCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C",3.55288
"CC(C)CCCCCCCCCCCOC(=O)C(C)=C",2.40431
"CC(C)CCCCOC(=O)C(C)=C",1.68615
"CC(C)CCCCCCCCCCCCOC(=O)C(C)=C",2.53224
"CC(C)CCCCCCCCCCCCCOC(=O)C(C)=C",2.56921
"CC(C)(C)CC(C)(C)CSCC(C)(C)CC(C)(C)C",2.97214
"CC(SSC(C)C(C)(C)C)C(C)(C)C",2.74353
"CC(C)(C)CC(C)(C)SC(C)(C)CC(C)(C)C",2.48575
"CC(=O)OC1CC2(O)C3CCC4CC(CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1)OCC1CC(O)C(O)CO1",5.68814
"CC(C)CCCCCCC1=C(O)C=C2CCC(C)(C)OC2=C1",4.30267
"CCCCC(CC)C(=O)O[Mn]OC(=O)CCCCCC(C)C",2.98773
"CCCCC(CC)C(=O)O[Mn]OC(=O)CCCCCCC(C)C",3.08347
"CCCCC(CC)C(=O)O[Ca]OC(=O)CCCCC(C)C",3.07325
"CCCCC(CC)C(=O)O[Ca]OC(=O)CCCCCC(C)C",2.98367
"CCCCC(CC)C(=O)O[Ca]OC(=O)CCCCCCC(C)C",3.05422
"CCCCCCCCCCCCCCC(C)C1=CC2=CC=CC=C2C=C1",4.09373
"CCC1OCC2C(CO1)C1C=CC2C1C",2.42886
"NC1=C(O)C(=C(C=C1)S(O)(=O)=O)[N+]([O-])=O",2.35632
"CC(COC(=O)C=C)OC(=O)NC1=CC=C(CC2=CC=C(NC(=O)OC(C)COC(=O)C=C)C=C2)C=C1",5.68728
"CC1=C(C=C(CCl)C=C1)S(O)(=O)=O",1.40689
"CN(C(=O)OCC(COC(=O)C(C)=C)(COC(=O)C(C)=C)COC(=O)C(C)=C)C1=CC=CC(NC(=O)OCC(CO)(COC(=O)C(C)=C)COC(=O)C(C)=C)=C1",5.25668
"OC1=C(C=C(OC2=C(C(Cl)=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)C=C1)N(=O)=O",6.30346
"CC1C(O)C2CC1C1CC=C(C)C21",2.36801
"CC(=C)C(=O)OCC(CO)(COC(=O)NCC1=CC(NC(=O)OCC(CO)(COC(=O)C(C)=C)COC(=O)C(C)=C)=CC=C1)COC(=O)C(C)=C",4.76466
"[Na]N(C1=C(OC2=CC(Cl)=CC(Cl)=C2Cl)C=C(Cl)C(Cl)=C1)S(=O)(=O)CCl",6.704462
"CCCCCCCCCCCCCCCCCC(=O)OCCNCCN(CCNCCO)CCOC(=O)CCCCCCCCCCCCCCCCC",2.5729
"CCCCCCCCCCCCCCCCCC(=O)OCCN(CCNCCO)CCNCCO",1.73308
"CCCCCCCCC1=C(N)NC(=S)NC1=O",3.92976
"CCCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCCCCCCCC",4.33441
"CCCCCCCCCCCCCCCCCCCC(=O)O[Al]=O",3.33091
"CCCCCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCCCCCCCCCCCCCC",4.44962
"CCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCCCCCCCCCCC",4.33455
"CCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCCCCCCCCC",4.19903
"CCCCCCCCCCCCCCC(=O)O[Al]=O",3.13062
"CCCCCCCCC(CCCCCCCCC(=O)N(CCCC)CCCC)S(=O)(=O)O[Na]",3.44082
"CO[Mg]OC(=O)C=C",3.11338
"CO[Mg]OC(=O)C(C)=C",2.03802
"O[Zn]OC(=O)C=C",3.31743
"Cl.NC1=CC=C(C=C1)C(C#N)C1=CC=C(Cl)C=C1",4.90416
"CCCCCCCC\C=C\CCCCCCCCO[Ti](OCCCC)(OCCCC)OCCCC",4.3399
"CCCCO[Ti](OCCCC)(OC(=O)CC)OC(=O)CC",2.82696
"CCCCCCCC(=O)O[Ti](OCCCC)(OCCCC)OC(=O)CCCCCCC",3.50561
"CCCCCCCCCCCC(=O)O[Ti](OCCCC)(OCCCC)OC(=O)CCCCCCCCCCC",3.96964
"CCCCCCCCCC(=O)NC1=NC(S)=NN1C1=CC=CC=C1",4.52822
"OC1=CC=CC=C1C(=O)O[Ti]OC(=O)C1=CC=CC=C1O",5.71021
"OC1=CC=CC=C1C(=O)O[Cr]OC(=O)C1=CC=CC=C1O",6.00035
"OC1=CC=CC(O)=C1\N=N\C1=C(O)C(=CC(Cl)=C1)S(O)(=O)=O",4.54169
"CCCCC(CC)CO[Mg]O\C(C)=C/C(C)=O",2.89534
"CCCO[Zr]OCCC",2.02624
"Cl.NC1=CC=C(C=C1)C(C#N)C1=CC=CC=C1",4.54862
"CC(C)O[Ti]OC(C)C",1.58313
"CCOC(=O)\C=C(/C)O[Ti](OC(C)C)OC(C)C",2.92962
"CCCCO[Ti]1(OCCCC)OCCO1",2.44895
"CCCCCCCCCCCCCCCCC(CCS)C(=O)O[Ba]O",4.21399
"CC(C)C\C(O[Fe](O\C(CC(C)C)=C\C(C)=O)O\C(CC(C)C)=C\C(C)=O)=C\C(C)=O",4.7847
"CC(C)C\C(O[Cr](O\C(CC(C)C)=C\C(C)=O)O\C(CC(C)C)=C\C(C)=O)=C\C(C)=O",4.82537
"CC(=C)C1CC=C(C)\C(C1)=C/C#N",3.07912
"CCC(CC)C(=O)OCC1(COC(=O)C(CC)CC)CCC2C3CCC(C3)C12",4.30315
"CC(C)C(=O)OCC1(COC(=O)C(C)C)CCC2C3CCC(C3)C12",3.71462
"CCCCCCCCCCCC(=O)OCC1(COC(=O)CCCCCCCCCCC)CCC2C3CCC(C3)C12",4.00777
"Cl.NC1=CC=C(C=C1)C(C#N)C1=CC=C(F)C=C1",4.79558
"CCCCCC(=O)O[Ti](OCCCC)(OCCCC)OC(=O)CCCCC",3.20339
